ID,Describing the Symptoms,assuring,diagnosing symptom,Specific Answer,Asks,Symptom,Ask1,Symptom1,Ask2,Symptom2,Description,InspectionList,Car Problem
0,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.",1) Open the hood and locate the spark plugs. The spark plugs are found inside the cylinder head assembly located above or on the side of the cylinder head block.,Rich Fuel Condition
1,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.","2) Remove any covers or parts obstructing access to the spark plugs, if necessary.",Rich Fuel Condition
2,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.",3) Leading to each spark plug is a spark plug wire or coil pack. Remove the spark plug wire or coil pack to gain access to the spark plug.,Rich Fuel Condition
3,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.",4) Use the correct size spark plug socket and begin to remove each spark plug. Carefully rotate the spark plug counter-clockwise.,Rich Fuel Condition
4,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.","5) After removing the spark plug, inspect the tips for sign of wear. Inspect for a broken tip, discoloration or contamination.",Rich Fuel Condition
5,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.","6) If there appears to be any sign of wear or damage to the spark plug, replace it.",Rich Fuel Condition
6,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Exrtreme heat, under-tuned engine, and normal wear will cause the inside of the converter to break down and fall apart. Replacement is recommended.",1) Begin the inspection by raising the vehicle high enough to gain full access underneath the exhaust system.Use a floor Jack and secure the vehicle on Jack stands.,Catalytic Converter Failure
7,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Exrtreme heat, under-tuned engine, and normal wear will cause the inside of the converter to break down and fall apart. Replacement is recommended.","2) After safely and securely raising the vehicle, locate the catalytic converter. The catalytic converter is commonly found inline with the exhaust system pipes. It resembles a muffler in appearance, but found before the muffler assmbly and after the exhaust manifold.",Catalytic Converter Failure
8,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Rotten eggs,,,,,,,"Exrtreme heat, under-tuned engine, and normal wear will cause the inside of the converter to break down and fall apart. Replacement is recommended.","3) Tap the catalytic converter with a rubber mallet and listen closely for abnormal sounds. If rattling noises are heard similar to small rocks shaking  inside the converter,  then replace the converter immediately.",Catalytic Converter Failure
9,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"1) Open the hood and locate the fuel pressure regulator. The fuel pressure regulator is commonly found on the fuel rail, which is mounted on top of the engine around the same location as the intake manifold.",Fuel Rail/Fuel Pressure Regulator Leak
