,Symptom 1_Feel Drifts ,Symptom 1_Feel Excessive play - Looseness,Symptom 1_Feel Pulls,Symptom 1_Feel Pulsation ,Symptom 1_High engine temperature,Symptom 1_Smell Antifreeze (sweet smell),Symptom 1_Smell Burning oil,Symptom 1_Smell Exhaust ,Symptom 1_Smell Gasoline,Symptom 1_Smell Mildew,Symptom 1_Smell Rotten eggs,Symptom 1_The car shakes,Symptom 1_The engine turns over,Symptom 1_The engine turns over slowly,Symptom 2_After the vehicle is warmed up,Symptom 2_All the time,Symptom 2_Fluctuation of the brake pedal when the brakes are applied,Symptom 2_Gradual movements to one side,Symptom 2_Hot weather,Symptom 2_Inside the vehicle,Symptom 2_Loss of engine power occurs suddenly,Symptom 2_Only outside the vehicle,Symptom 2_Only when engine is running or  idling.,Symptom 2_Sharp movement to one side,Symptom 2_The brake pedal is shaking,Symptom 2_The headlights did not go out as the engine was cranking,Symptom 2_The headlights go out as the engine was cranking,Symptom 2_The steering wheel shakes,Symptom 2_The whole car shakes,Symptom 2_There is black smoke coming from the exhaust while driving,Symptom 2_There is blue smoke coming from the exhaust always,Symptom 2_There is blue smoke coming from the exhaust while accelerating,Symptom 2_There is white smoke coming from the exhaust while driving,Symptom 2_When the heater is on,Symptom 2_black smoke,Symptom 2_lack of response in the steering wheel,Symptom 2_white smoke,Symptom 3_Air conditioner is off most of the time,Symptom 3_Coming From Engine Compartment,Symptom 3_Fuel injectors are clogged,Symptom 3_Fuel tank is empty,Symptom 3_Inside the vehicle when the heat or A/C is turned on.,Symptom 3_It happens during acceleration,Symptom 3_It happens while braking,Symptom 3_It happens while driving at a certain speed,Symptom 3_It only happens under heavy braking and there is no vibration from the front end,Symptom 3_Only outside the vehicle.,Symptom 3_Rear of the Vehicle,Symptom 3_Smell of Fuel,Symptom 3_The air conditioner is on most of the time,Symptom 3_The braking also has vibrations from the front,Symptom 3_The engine has less power than it used to be when going up hills,Symptom 3_The engine has warmed up,Symptom 3_The smoke comes out during startup and then stops,Symptom 3_The smoke comes out of the exhaust when starting and then stops,Symptom 3_The smoke comes out of the exhaust while driving,Symptom 3_The smoke comes out of the exhaust while driving and stops after the engine has warmed up,Symptom 3_The smoke comes out of the exhaust while driving even after the engine has warmed up,Symptom 3_There is a cruddy-like substance on the terminals,Symptom 3_There is dirt on the air filter,Symptom 3_There is grinding or growling sound,Symptom 3_There is no cruddy-like substance on the terminals,Symptom 3_There is no dirt on the air filter,Symptom 3_There is no grinding or growling sound,Symptom 3_cold weather,Symptom 3_low coolant level warning light is on,Symptom 3_no low coolant level warning light is on,car_problem
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Flow of electrical current to starter interfered
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Weak battery or  Recharge the battery
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,car out of fuel
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bad starter
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Frozen battery
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Condensation in steaming off
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blown head gasket
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clogged air filter
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bad fuel injection sensor
9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bad rings
