Symptom,CarDiagnoses,Description,inspectionList,childWebPageList.childWebPageList.childWebPageList.problemList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.val,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Rotten eggs",Rich Fuel Condition,"Multiple problems can cause a rich fuel mixture, which may be simple to address or more complex to diagnose. The ""check engine"" light is normally the first indicator in the line of defense; however, it may not be enough to warn of other possible problems. Solving It can be as routine as an engine tune-up or needing further diagnosis if not easily traced.","['1) Open the hood and locate the spark plugs. The spark plugs are found inside the cylinder head assembly located above or on the side of the cylinder head\xa0block.', '2) Remove any covers or parts obstructing access to the spark plugs, if necessary.', '3) Leading to each spark plug is a spark plug wire or coil pack. Remove the spark plug wire or coil pack to gain access to the spark plug.', '4) Use the correct size spark plug socket and\xa0begin to remove each spark plug. Carefully rotate the spark plug counter-clockwise.', '5) After removing the spark plug, inspect the tips for sign of wear. Inspect for a broken tip, discoloration or contamination.', '6) If there appears to be any sign of wear or damage\xa0to the spark plug, replace it.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Rotten eggs",Catalytic Converter Failure,"Exrtreme heat, under-tuned engine, and normal wear will cause the inside of the converter to break down and fall apart. Replacement is recommended.","['1) Begin the inspection by raising the vehicle high enough to gain full access underneath the exhaust system.Use a floor Jack and\xa0secure the vehicle on Jack stands.', '2) After safely and securely raising the vehicle, locate the catalytic converter. The catalytic converter is commonly found inline with the exhaust system pipes. It\xa0resembles a muffler in appearance, but found before the muffler assmbly and after the exhaust manifold.', '3) Tap the catalytic converter with a rubber mallet and\xa0listen closely\xa0for abnormal sounds. If\xa0rattling noises are heard similar to small rocks shaking\xa0 inside the converter, \xa0then replace the converter immediately.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Mildew",A/C vents (Foul Smell),"Debris in your cabin air filter can build up multiple ways. If the vehicle has gone a long time without replacing the filter, then normal build up of dust and dirt is common. If you have been driving through dusty terrain, off-roading, highways chances are there is an excess of  dust in the air going into the filter.","['1) Locate the cabin air filter. Refer to your owner ۪s manual for the specific location. Some filters\xa0are found in the engine compartment and others are located in the interior of the glove box. \xa0Note: Some models may have more than one cabin air filter, be sure to check both and replace both, if necessary.', '2) Once the cabin air filter is locatd, inspect it for debris, dirt and leaves to have a clean and clear path for air flow.', '3) If the cabin air filter appears dirty, replace it.', '4) Most cabin air filters are recommended for replacement every 30,000 miles.\xa0Foul odors present in the A/C vents is another indication that it may be necessary to replace the cabin air filter.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Burning oil",Engine Oil Leak (Odor),Valve cover gaskets may begin to leak from normal wear and overheating of the engine. Most are constructed of rubber and others are cork. Excessive heating and cooling will eventually harden the materials and make them crack. Oil pressure and oil flow will leak out through small cracks that develop. Oil can also leak into the spark plugs causing the engine to misfire.,"['1) Open the hood and locate the engine.', '2) Inspect around the valve covers, oil pan, intake manifold, oil filter and drain plug for signs of leaking engine oil.', '3) If you are unable to identify where the oil is leaking from by a visual inspection, spray a can of brake cleaner around the dirty spots of the engine block. Spray along the wall of the block, around the valve cover gasket, the oil dipstick, the oil filter, the oil pump seal and where the engine mounts to the transmission are located.', '4) After the block and components are sprayed clean, start the engine to identify additional leaks.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Excessive play - Looseness, lack of response in the steering wheel",Power Steering Rack (Internal Wear),"Common causes for power steering rack failure: Leaking Inner tie rod seals, internal damage/wear, running the system dry or low on fluid. It is highly recommend to replace the complete power steering rack if leaks are found at the inner tie rod seals.","['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.', '2) Use a jack to raise the front of the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) Remove the front wheels by loosening and pulling off the lugs nuts that are holding the rims on.\xa0 Find the correct size socket and large ratchet or tire iron and turn them counter clockwise. The lug nuts are the capped bolts that round the center of the wheel holding the rim to the hub.', '5) Inspect the power steering rack for leaks.', '6) Poke a small hole where the tie rod seal is wet. If you find power steering fluid drips out, the power steering rack should be replaced.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Excessive play - Looseness, lack of response in the steering wheel",Loose/Worn Tie Rod Ends,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.","['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.', '2) Use a jack to raise the front of the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) Firmly grasp the tie rod end, push or pull the tie rod end vertical. Feel for any looseness, the tie rod end should feel firm and snug, if the tie rod end moves to easily the tie rod should be replaced. Grinding or binding feeling could mean the tie rod end has rusted internally and should be replaced. Check the rubber boot, if it is damaged water and dirt can easily find its way into the tie rod end, and the tie rod end will wear and need to be replaced.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Drifts - Gradual movements to one side",Uneven Tire Pressure,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","['1) Locate the tire ۪s valve stem and remove the valve stem cap.', '2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.', '3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located\xa0on the side\xa0wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires.\xa0Some manufacturers also put it on the\xa0manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire\xa0ratings, and tire pressure.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Drifts - Gradual movements to one side",Wheels out of Alignment,"A wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","['1) Check the vehicles tires, make sure they are the correct size and \xa0inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.', ""2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned."", '3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the\xa0distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal. \xa0The vehicle toe is adjusted by the tie rods and must be equal on both sides.', '4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also\xa0be caused when the vehicle is out of allignment.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Drifts - Gradual movements to one side",Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side",Dragging Front Brake,"Brake calipers will usually bind on the slides from being improperly lubed or overly dirty. Gunk builds up on the slides and will not allow the caliper to press together, preventing the pads from stopping the rotor from spinning.","['1) Secure your vehicle on a level surface, making sure your car will not roll or lean when jacked up.', '2) Remove the front wheel hub caps if applicable. Using a tire iron, break loose the front wheel lug nuts but do not remove.', '3) Using a floor jack, lift up the front of your vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the front wheel lug nuts. Remove the front wheels and set them aside.', '6) Repeat steps 2 through 4 to remove the rear wheels.', '7) Inspect the brake caliper for any signs of binding. Look for dirt built up on the caliper slides or lack of lubricant.', '8) For drum brakes, remove the brake drum to gain access to the wheel cylinder. Inspect wheel cylinder for fluid leaks or torn cup seals.']",,,,,,
