Symptom,Car Problem
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? All the time. Can you pinpoint where the odor is coming from? Engine Compartment.",Fuel Rail/Fuel Pressure Regulator Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? All the time. Can you pinpoint where the odor is coming from? Engine Compartment.",Fuel Injector Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? All the time. Can you pinpoint where the odor is coming from? Rear of the Vehicle.",Fuel Tank Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? All the time. Can you pinpoint where the odor is coming from? Rear of the Vehicle.",Fuel Pump Assembly Failure
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? All the time. Can you pinpoint where the odor is coming from? Rear of the Vehicle.",Fuel Filter Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? Only when engine is running, idling. Can you pinpoint where the odor is coming from? Inside the vehicle when the heat or A/C is turned on.",Fuel Rail/Fuel Pressure Regulator Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? Only when engine is running, idling. Can you pinpoint where the odor is coming from? Inside the vehicle when the heat or A/C is turned on.",Fuel Injector Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? Only when engine is running, idling. Can you pinpoint where the odor is coming from? Only outside the vehicle.",Fuel Tank Leak
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? Only when engine is running, idling. Can you pinpoint where the odor is coming from? Only outside the vehicle.",Fuel Pump Assembly Failure
"If you're not sure what the problem is, start by describing the symptoms: Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil). What odor do you smell? Gasoline. When does the odor occur? Only when engine is running, idling. Can you pinpoint where the odor is coming from? Only outside the vehicle.",Fuel Filter Leak
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Vibration - Vehicle shakes. Ususally felt in the steering wheel or the seat. When do you feel the vibration? When braking. Where do you feel the vibration when braking? Not Sure.",Out-of-Round Brake Drums
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Vibration - Vehicle shakes. Ususally felt in the steering wheel or the seat. When do you feel the vibration? When braking. Where do you feel the vibration when braking? Not Sure.",Warped Brake Rotors
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Vibration - Vehicle shakes. Ususally felt in the steering wheel or the seat. When do you feel the vibration? When braking. Where do you feel the vibration when braking? Through the steering wheel.",Loose or Worn Front End Component
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Vibration - Vehicle shakes. Ususally felt in the steering wheel or the seat. When do you feel the vibration? When braking. Where do you feel the vibration when braking? Through the steering wheel.",Warped Brake Rotors
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Vibration - Vehicle shakes. Ususally felt in the steering wheel or the seat. When do you feel the vibration? When braking. Where do you feel the vibration when braking? Through the seats.",Out-of-Round Brake Drums
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Not Sure.","Worn or ""dry"" ball joint"
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Not Sure.",Axle Assembly Failure
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Not Sure.",Loose/Worn Tie Rod Ends
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Front Left.","Worn or ""dry"" ball joint"
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Front Left.",Axle Assembly Failure
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Front Left.",Loose/Worn Tie Rod Ends
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Front Right.","Worn or ""dry"" ball joint"
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Front Right.",Axle Assembly Failure
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When turning. Where do you hear the clunk? Front Right.",Loose/Worn Tie Rod Ends
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When going over bumps. Where do you hear the clunk? Front.",Worn Struts
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When going over bumps. Where do you hear the clunk? Front.",Loose or Worn Front End Component
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When going over bumps. Where do you hear the clunk? Rear.",Loose or Worn Suspension Parts
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Clunk - A random thumping soun. When do you hear the clunk? When going over bumps. Where do you hear the clunk? Rear.",Worn Out Shocks/Struts
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Chirp - High pitched rapidly repeating sound, like birds chirping. When do you hear the chirp? When I accelerate. Where do you hear the chirp when you accelerate? From the font wheels.",Wheel Bearing Failure
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Chirp - High pitched rapidly repeating sound, like birds chirping. When do you hear the chirp? When I accelerate. Where do you hear the chirp when you accelerate? Engine Compartment.",Loose or Worn Drive Belt
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Chirp - High pitched rapidly repeating sound, like birds chirping. When do you hear the chirp? When I accelerate. Where do you hear the chirp when you accelerate? Under the vehicle.",Worn or Damaged Universal Joints
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Chirp - High pitched rapidly repeating sound, like birds chirping. When do you hear the chirp? When I accelerate. Where do you hear the chirp when you accelerate? Under the vehicle.",Worn Clutch Disc Surface
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Chirp - High pitched rapidly repeating sound, like birds chirping. When do you hear the chirp? When I accelerate. Where do you hear the chirp when you accelerate? I'm not sure.",Wheel Bearing Failure
